0.0012567703 0.0001227428 0.0079426458
1.2123645267 1.5455477420 1.2059623747
-0.0560960701 -0.3161116774 -0.1420793368
-0.0765717457 -0.1869321072 -0.0023994837
0.0345850457 -0.0593896851 0.0108934122
-0.0279598784 -0.0056770057 -0.0236120573
-0.2692830940 -0.0864032431 -0.4840987711
0.2444172888 0.2795981096 0.5913174187
-0.0338870902 -0.1555877605 -0.1457325675
-0.2313064372 -0.1319280791 -0.0395364426
0.2410876643 0.0835681634 -0.0160574373
-0.0230148497 -0.0071609593 0.0471204396
-0.0899403201 0.0116155251 -0.2362918853
0.0741684827 0.0372447138 0.3084437230
-0.0131810868 -0.0500517620 -0.0809748918
-0.1104482322 -0.0053212971 -0.0336115100
0.1046258829 0.0458853828 -0.0234440890
-0.0066086941 -0.0079474811 0.0362673069
-0.0612995775 0.0025860535 -0.1076900091
0.0646958784 0.0116461371 0.1390786907
-0.0057396963 -0.0216889944 -0.0357229271
-0.0369030212 -0.0033137521 -0.0199589424
0.0321516632 0.0058716565 -0.0195371923
-0.0045601225 -0.0008864820 0.0182794294
-0.0304844530 0.0056824223 -0.0333600732
0.0355533632 -0.0069368713 0.0685048871
-0.0064223234 0.0079034046 0.0066991534
